season,round,date,home_team,away_team,home_goals,away_goals,home_win,draw,away_win
2022,1,02.04.2022,HamKam,Lillestrøm,2,2,0,1,0
2022,1,02.04.2022,Molde,Vålerenga,1,0,1,0,0
2022,1,03.04.2022,Aalesund,Kristiansund,1,0,1,0,0
2022,1,03.04.2022,Haugesund,Sandefjord Fotball,1,3,0,0,1
2022,1,03.04.2022,Jerv,Strømsgodset,1,0,1,0,0
2022,1,03.04.2022,Sarpsborg 08,Viking,0,1,0,0,1
2022,1,03.04.2022,Odd,Tromsø,2,0,1,0,0
2022,1,03.04.2022,Bodø/Glimt,Rosenborg,2,2,0,1,0
2022,2,09.04.2022,Lillestrøm,Jerv,4,0,1,0,0
2022,2,10.04.2022,Vålerenga,Haugesund,2,1,1,0,0
2022,2,10.04.2022,Tromsø,HamKam,2,1,1,0,0
2022,2,10.04.2022,Sandefjord Fotball,Bodø/Glimt,1,2,0,0,1
2022,2,10.04.2022,Rosenborg,Odd,1,0,1,0,0
2022,2,10.04.2022,Strømsgodset,Molde,1,3,0,0,1
2022,2,10.04.2022,Kristiansund,Sarpsborg 08,2,3,0,0,1
2022,2,10.04.2022,Viking,Aalesund,1,0,1,0,0
2022,3,18.04.2022,Aalesund,Tromsø,2,2,0,1,0
2022,3,18.04.2022,HamKam,Sandefjord Fotball,3,0,1,0,0
2022,3,18.04.2022,Haugesund,Strømsgodset,0,1,0,0,1
2022,3,18.04.2022,Jerv,Kristiansund,1,0,1,0,0
2022,3,18.04.2022,Molde,Lillestrøm,1,2,0,0,1
2022,3,18.04.2022,Sarpsborg 08,Rosenborg,1,1,0,1,0
2022,3,18.04.2022,Odd,Viking,2,1,1,0,0
2022,3,18.04.2022,Bodø/Glimt,Vålerenga,5,1,1,0,0
2022,4,23.04.2022,Odd,Aalesund,2,3,0,0,1
2022,4,23.04.2022,Strømsgodset,Sandefjord Fotball,0,5,0,0,1
2022,4,24.04.2022,Kristiansund,HamKam,2,2,0,1,0
2022,4,24.04.2022,Lillestrøm,Haugesund,1,0,1,0,0
2022,4,24.04.2022,Tromsø,Sarpsborg 08,2,5,0,0,1
2022,4,24.04.2022,Viking,Bodø/Glimt,2,0,1,0,0
2022,4,24.04.2022,Vålerenga,Jerv,1,0,1,0,0
2022,4,24.04.2022,Rosenborg,Molde,0,0,0,1,0
2022,5,07.05.2022,Sarpsborg 08,Odd,1,0,1,0,0
2022,5,07.05.2022,Molde,Viking,3,4,0,0,1
2022,5,08.05.2022,Bodø/Glimt,Lillestrøm,1,1,0,1,0
2022,5,08.05.2022,Haugesund,Kristiansund,2,0,1,0,0
2022,5,08.05.2022,Jerv,Tromsø,1,1,0,1,0
2022,5,08.05.2022,Strømsgodset,Rosenborg,3,0,1,0,0
2022,5,08.05.2022,Sandefjord Fotball,Vålerenga,1,3,0,0,1
2022,5,08.05.2022,HamKam,Aalesund,0,0,0,1,0
2022,6,16.05.2022,Aalesund,Molde,0,2,0,0,1
2022,6,16.05.2022,Bodø/Glimt,Tromsø,1,1,0,1,0
2022,6,16.05.2022,Kristiansund,Strømsgodset,0,3,0,0,1
2022,6,16.05.2022,Lillestrøm,Sarpsborg 08,1,0,1,0,0
2022,6,16.05.2022,Rosenborg,Sandefjord Fotball,3,0,1,0,0
2022,6,16.05.2022,Odd,Haugesund,0,4,0,0,1
2022,6,16.05.2022,Viking,Jerv,3,0,1,0,0
2022,6,16.05.2022,Vålerenga,HamKam,1,1,0,1,0
2022,7,21.05.2022,Sandefjord Fotball,Lillestrøm,1,4,0,0,1
2022,7,21.05.2022,Molde,Kristiansund,2,1,1,0,0
2022,7,22.05.2022,Haugesund,Bodø/Glimt,1,4,0,0,1
2022,7,22.05.2022,Jerv,Odd,0,1,0,0,1
2022,7,22.05.2022,Strømsgodset,Vålerenga,3,2,1,0,0
2022,7,22.05.2022,Sarpsborg 08,Aalesund,1,2,0,0,1
2022,7,22.05.2022,Tromsø,Viking,1,1,0,1,0
2022,7,22.05.2022,HamKam,Rosenborg,1,1,0,1,0
2022,8,25.05.2022,Aalesund,Jerv,2,1,1,0,0
2022,8,25.05.2022,Bodø/Glimt,Strømsgodset,2,2,0,1,0
2022,8,25.05.2022,Odd,Sandefjord Fotball,0,1,0,0,1
2022,8,25.05.2022,Viking,HamKam,1,1,0,1,0
2022,8,25.05.2022,Lillestrøm,Vålerenga,2,0,1,0,0
2022,8,26.05.2022,Rosenborg,Haugesund,3,3,0,1,0
2022,8,26.05.2022,Sarpsborg 08,Molde,1,2,0,0,1
2022,8,03.08.2022,Kristiansund,Tromsø,1,1,0,1,0
2022,9,28.05.2022,HamKam,Odd,1,2,0,0,1
2022,9,28.05.2022,Strømsgodset,Viking,3,2,1,0,0
2022,9,29.05.2022,Haugesund,Aalesund,2,2,0,1,0
2022,9,29.05.2022,Jerv,Sarpsborg 08,0,5,0,0,1
2022,9,29.05.2022,Molde,Bodø/Glimt,3,1,1,0,0
2022,9,29.05.2022,Tromsø,Lillestrøm,2,2,0,1,0
2022,9,29.05.2022,Vålerenga,Rosenborg,0,4,0,0,1
2022,9,27.07.2022,Sandefjord Fotball,Kristiansund,2,0,1,0,0
2022,10,18.06.2022,Sarpsborg 08,Strømsgodset,5,1,1,0,0
2022,10,18.06.2022,Kristiansund,Bodø/Glimt,0,2,0,0,1
2022,10,19.06.2022,Jerv,HamKam,1,2,0,0,1
2022,10,19.06.2022,Lillestrøm,Rosenborg,3,1,1,0,0
2022,10,19.06.2022,Odd,Molde,1,2,0,0,1
2022,10,19.06.2022,Tromsø,Haugesund,1,1,0,1,0
2022,10,19.06.2022,Viking,Sandefjord Fotball,1,2,0,0,1
2022,10,19.06.2022,Aalesund,Vålerenga,2,2,0,1,0
2022,11,25.06.2022,Haugesund,Viking,4,2,1,0,0
2022,11,25.06.2022,Rosenborg,Kristiansund,3,1,1,0,0
2022,11,26.06.2022,Bodø/Glimt,Aalesund,2,0,1,0,0
2022,11,26.06.2022,HamKam,Sarpsborg 08,3,2,1,0,0
2022,11,26.06.2022,Strømsgodset,Lillestrøm,3,0,1,0,0
2022,11,26.06.2022,Sandefjord Fotball,Tromsø,2,2,0,1,0
2022,11,26.06.2022,Vålerenga,Odd,0,1,0,0,1
2022,11,06.07.2022,Molde,Jerv,1,1,0,1,0
2022,12,12.05.2022,Tromsø,Vålerenga,1,0,1,0,0
2022,12,02.07.2022,Jerv,Haugesund,1,0,1,0,0
2022,12,02.07.2022,Odd,Bodø/Glimt,3,2,1,0,0
2022,12,03.07.2022,Aalesund,Strømsgodset,1,0,1,0,0
2022,12,03.07.2022,HamKam,Molde,0,0,0,1,0
2022,12,03.07.2022,Kristiansund,Lillestrøm,1,3,0,0,1
2022,12,03.07.2022,Sarpsborg 08,Sandefjord Fotball,4,3,1,0,0
2022,12,03.07.2022,Viking,Rosenborg,1,1,0,1,0
2022,13,09.07.2022,Bodø/Glimt,Sarpsborg 08,4,1,1,0,0
2022,13,09.07.2022,Strømsgodset,Odd,0,0,0,1,0
2022,13,10.07.2022,Lillestrøm,Viking,0,1,0,0,1
2022,13,10.07.2022,Molde,Tromsø,5,1,1,0,0
