Runde,Dato,Dag,Tid,Hjemmelag,Resultat,Bortelag,Bane
1,09.05.2021,søndag,18,Bodø/Glimt,3 - 0,Tromsø,Aspmyra stadion
1,09.05.2021,søndag,18,Molde,2 - 0,Kristiansund,Aker stadion
1,09.05.2021,søndag,18,Viking,3 - 1,Brann,Lyse Arena
1,09.05.2021,søndag,20,Vålerenga,1 - 1,Rosenborg,Intility Arena
1,21.07.2021,onsdag,19,Strømsgodset,3 - 0,Odd,Marienlyst stadion
1,21.07.2021,onsdag,19,Sandefjord Fotball,1 - 1,Haugesund,Jotun Arena
1,21.07.2021,onsdag,19,Sarpsborg 08,1 - 1,Mjøndalen,Sarpsborg st KG
1,21.07.2021,onsdag,19,Stabæk,2 - 3,Lillestrøm,Nadderud stadion
2,12.05.2021,onsdag,18,Kristiansund,0 - 2,Bodø/Glimt,Nordmøre stadion
2,12.05.2021,onsdag,20,Brann,0 - 3,Vålerenga,Brann stadion
2,13.05.2021,torsdag,18,Tromsø,3 - 3,Molde,Romssa Arena
2,13.05.2021,torsdag,20,Rosenborg,5 - 0,Viking,Lerkendal stadion
2,28.07.2021,onsdag,19,Haugesund,2 - 1,Strømsgodset,Haugesund Sparebank Arena
2,28.07.2021,onsdag,19,Lillestrøm,2 - 0,Sarpsborg 08,Åråsen stadion
2,28.07.2021,onsdag,19,Mjøndalen,1 - 2,Stabæk,Consto Arena
2,28.07.2021,onsdag,19,Odd,2 - 3,Sandefjord Fotball,Skagerak Arena
3,16.05.2021,søndag,15,Vålerenga,1 - 2,Kristiansund,Intility Arena
3,16.05.2021,søndag,15,Sarpsborg 08,0 - 0,Haugesund,Sarpsborg st KG
3,16.05.2021,søndag,15,Viking,0 - 1,Tromsø,Lyse Arena
3,16.05.2021,søndag,18,Bodø/Glimt,2 - 2,Rosenborg,Aspmyra stadion
3,16.05.2021,søndag,18,Sandefjord Fotball,0 - 3,Mjøndalen,Jotun Arena
3,16.05.2021,søndag,18,Strømsgodset,3 - 1,Lillestrøm,Marienlyst stadion
3,16.05.2021,søndag,20,Molde,4 - 0,Brann,Aker stadion
3,19.05.2021,onsdag,20,Stabæk,2 - 2,Odd,Nadderud stadion
4,24.05.2021,mandag,15,Odd,1 - 1,Sarpsborg 08,Skagerak Arena
4,24.05.2021,mandag,18,Brann,1 - 2,Bodø/Glimt,Brann stadion
4,24.05.2021,mandag,18,Haugesund,0 - 0,Stabæk,Haugesund Sparebank Arena
4,24.05.2021,mandag,18,Kristiansund,1 - 0,Strømsgodset,Nordmøre stadion
4,24.05.2021,mandag,18,Lillestrøm,1 - 3,Viking,Åråsen stadion
4,24.05.2021,mandag,18,Mjøndalen,1 - 1,Vålerenga,Consto Arena
4,24.05.2021,mandag,18,Tromsø,1 - 3,Sandefjord Fotball,Romssa Arena
4,24.05.2021,mandag,20,Rosenborg,2 - 3,Molde,Lerkendal stadion
5,27.05.2021,torsdag,18,Bodø/Glimt,2 - 0,Haugesund,Aspmyra stadion
5,27.05.2021,torsdag,18,Lillestrøm,1 - 0,Odd,Åråsen stadion
5,27.05.2021,torsdag,18,Sandefjord Fotball,1 - 2,Rosenborg,Jotun Arena
5,27.05.2021,torsdag,18,Sarpsborg 08,0 - 1,Kristiansund,Sarpsborg st KG
5,27.05.2021,torsdag,18,Stabæk,2 - 0,Brann,Nadderud stadion
5,27.05.2021,torsdag,18,Strømsgodset,1 - 1,Tromsø,Marienlyst stadion
5,27.05.2021,torsdag,18,Viking,2 - 1,Mjøndalen,Lyse Arena
5,27.05.2021,torsdag,20,Molde,2 - 3,Vålerenga,Aker stadion
6,30.05.2021,søndag,15,Mjøndalen,0 - 0,Molde,Consto Arena
6,30.05.2021,søndag,18,Kristiansund,1 - 0,Lillestrøm,Nordmøre stadion
6,30.05.2021,søndag,18,Odd,1 - 0,Bodø/Glimt,Skagerak Arena
6,30.05.2021,søndag,18,Rosenborg,4 - 2,Stabæk,Lerkendal stadion
6,30.05.2021,søndag,18,Tromsø,0 - 2,Sarpsborg 08,Romssa Arena
6,30.05.2021,søndag,18,Vålerenga,3 - 1,Sandefjord Fotball,Intility Arena
6,30.05.2021,søndag,18,Brann,3 - 0,Strømsgodset,Brann stadion
6,30.05.2021,søndag,20,Haugesund,4 - 2,Viking,Haugesund Sparebank Arena
7,12.06.2021,lørdag,15,Sandefjord Fotball,1 - 3,Molde,Jotun Arena
7,12.06.2021,lørdag,15,Kristiansund,2 - 0,Odd,Nordmøre stadion
7,13.06.2021,søndag,18,Sarpsborg 08,0 - 0,Brann,Sarpsborg st KG
7,13.06.2021,søndag,18,Bodø/Glimt,2 - 0,Mjøndalen,Aspmyra stadion
7,13.06.2021,søndag,18,Lillestrøm,2 - 1,Haugesund,Åråsen stadion
7,13.06.2021,søndag,18,Strømsgodset,2 - 1,Rosenborg,Marienlyst stadion
7,13.06.2021,søndag,20,Viking,4 - 1,Vålerenga,Lyse Arena
7,14.06.2021,mandag,19,Stabæk,0 - 3,Tromsø,Nadderud stadion
